group,rmse,r2,plcc,srcc,non_zero_coefficients,status
all_data,0.5303517797876997,0.3530029743362665,0.5942913600208073,0.5418769711836691,7,success
complexity_1,0.20565824066403784,0.8735421715865028,0.9348839098988858,0.9449109825071225,6,success
complexity_2,0.25966922017760896,0.6215234156073697,0.7884014121797205,0.7320217268052073,7,success
complexity_3,0.3441042187869513,0.4553995695368249,0.6756592476194789,0.5237089885778783,7,success
degradation_DownSample,0.4706508038682506,0.16057497138535282,0.41748514708600726,0.3477643404182336,7,success
degradation_LocalLoss,0.4394855384399367,0.33381338141875316,0.5879675895781956,0.5710342005753672,3,success
degradation_Octree,0.45568204108048627,0.42425872773447193,0.6525317130391726,0.6548305845912991,7,success
degradation_limitlossyG_lossyA,0.5283919317192596,0.459885562165368,0.6790607654000949,0.6860352610356639,7,success
degradation_lossy_geom_lossy_attrs,0.53011576887192,0.3257723861478137,0.5716612859980292,0.4801957488976818,7,success
