group,rmse,r2,adjusted_r2,plcc,srcc,cv_rmse_mean,status
all_data,0.5303566401356953,0.35299111562200924,0.3514058645927317,0.594270332661575,0.5416705149237916,0.5316133591779492,success
complexity_1,0.2057267836925958,0.8734578642721419,0.8725155292188493,0.9348482667134866,0.9447915766646784,0.20263611559610667,success
complexity_2,0.25970338514414804,0.6214238158898364,0.6186313677457151,0.7883431274510612,0.7318368111967077,0.26227018602317403,success
complexity_3,0.3440938046920932,0.4554325330078346,0.45143256210652793,0.6756644822216165,0.523427485414262,0.349374947283063,success
degradation_DownSample,0.4708026362984686,0.16003328528136218,0.14876936381961803,0.4171657999515442,0.3472471819260393,0.46389489506773646,success
degradation_LocalLoss,0.4390050118218233,0.33526938107085846,0.32476573697942734,0.5885703653566183,0.5685610296374136,0.4754985021374587,success
degradation_Octree,0.455649691680144,0.4243404699236737,0.41501265346410365,0.652577626659141,0.654601453233334,0.44642934554812125,success
degradation_limitlossyG_lossyA,0.5283573973532866,0.4599561608971173,0.45351611511565193,0.679117097817916,0.6860292223798925,0.5317216944864205,success
degradation_lossy_geom_lossy_attrs,0.5301560924368703,0.3256698112138754,0.32005707480305157,0.5716007479165606,0.4800300511096118,0.522194935216666,success
